Lower95;Median;Upper95;Mean;SD;Mode;MCerr;MC%ofSD;SSeff;AC.5000;psrf
Prior_Prob_DensDep;0.0127962;0.232039;0.536616;0.254540899076667;0.146236921088147;NA;0.00292941182028633;2;2492;-0.0502344396309255;1.00057089734523
Lef_F_DI;0.425004;0.4848465;0.556629;0.487024765333333;0.033912112821315;NA;0.00146047926731733;4.3;539;0.0182085721878635;1.01439084341943
Lef_F_DD;0.411007;0.462172;0.508016;0.461095374;0.0249308308212262;NA;0.00139965419510079;5.6;317;0.195848451429993;1.00743403801772
Lef_Gf_DI;0.361358;0.705211;0.998643;0.685062755533333;0.188509200458082;NA;0.024841643174319;13.2;58;0.631398843712199;1.02944157693816
Lef_Gf_DD;0.173383;0.3622325;0.47392;0.3453532386;0.0796661024936258;NA;0.0101803306204209;12.8;61;0.6661675497613;1.14045372437854
Lef_Ss_DI;0.643696;0.857055;0.999955;0.840618671;0.106091360980165;NA;0.00272082092442641;2.6;1520;-0.00433342537373816;1.00351562938654
Lef_Ss_DD;0.0749026;0.296712;0.757992;0.355089711333333;0.204475339297033;NA;0.0314981506034259;15.4;42;0.734992054378371;1.20421552097679
Lef_Gs_DI;4.49426e-05;0.142945;0.356304;0.159381331306833;0.106091357355347;NA;0.00272082087101318;2.6;1520;-0.00433344910070001;1.00351563007656
Lef_Gs_DD;7.71737e-07;0.03067415;0.259516;0.066116039382305;0.0866873182855045;NA;0.00245124939589258;2.8;1251;0.0420107731932672;1.00669897965563
Lef_Sa_DI;0.955866;0.9907095;0.999995;0.985408128;0.0170204395366754;NA;0.000477915771697233;2.8;1268;0.0324397432681343;1.00025240749681
Lef_Sa_DD;0.944798;0.983667;0.999492;0.978417786666667;0.019534485769392;NA;0.00066327205379632;3.4;867;0.029602043415462;1.00212618102479
var.fec;0.000986581;0.0254429;0.105166;0.0365509853793333;0.0315215890474731;NA;0.00127678429951273;4.1;610;0.030806693739398;1.00872112918672
var.fledrec;1.23071e-07;7.299585e-05;0.00020465;9.25482341270667e-05;0.000160573141656406;NA;1.22496941225799e-05;7.6;172;0.338522132629062;1.11595644983535
var.subrec;1.62991e-08;1.20301e-06;0.000135663;4.34793082684333e-05;0.000227081864646854;NA;1.3365156618975e-05;5.9;289;0.186166764196086;1.17285259360599
var.subsurv;3.14245e-18;1.048875e-08;3.38514e-05;1.14282983158091e-05;7.54253407814445e-05;NA;1.67991127693776e-06;2.2;2016;0.00201892438590158;1.00737124330769
var.adsurv;0.155877;0.5623425;0.827359;0.538123976146667;0.179678974338558;NA;0.00761674859157483;4.2;556;0.0718157091235593;1.01780168047872
var.envstoc;0.120504;0.400218;0.82565;0.425095996233333;0.190349949072766;NA;0.00790503496982376;4.2;580;0.0820733413691782;1.01291019402638
var.demstoc;6.76308e-08;5.85636e-05;0.00022812;8.15719623687667e-05;7.4920836738276e-05;NA;1.36786107695718e-06;1.8;3000;-0.0134150963363427;1.00150930889375
beta[1];1.49442e-07;0.000125455;0.000312395;0.000140547301013333;9.8889064674171e-05;NA;4.78096378252261e-06;4.8;428;0.0288228902137657;1.01899091965532
beta[2];0.000142073;0.00231686;0.00561958;0.0026458266644;0.00179260076335208;NA;0.000329805658340225;18.4;30;0.833536680863714;1.08148805817619
beta[3];5.59321e-07;0.00461717;0.0160398;0.005807592017007;0.00504319058748639;NA;0.000759051053620672;15.1;44;0.750311458026222;1.26329494052007
beta[4];9.97938e-07;0.006786815;0.421549;0.0622432248011527;0.143839396464796;NA;0.00476678603636269;3.3;911;0.0470943014408389;1.00910692978796
beta[5];3.29146e-09;1.16102e-05;5.90243e-05;1.816602229387e-05;2.10075998193792e-05;NA;6.8766648290734e-07;3.3;933;-0.0141954196229117;1.00604100148924
Prob_DensDep[1];0;0;0;0.014;0.117510011776114;0;0.00224987187685605;1.9;2728;0.0288345021828659;1.01067936235313
Prob_DensDep[2];0;0;0;0.0146666666666667;0.120234663666534;0;0.00244984032028852;2;2409;0.0355459217433452;1.00764102935013
Prob_DensDep[3];0;0;0;0.0226666666666667;0.148863278371256;0;0.00283338525039162;1.9;2760;0.0126728906106877;1.01164543961172
Prob_DensDep[4];0;0;1;0.207333333333333;0.405463959635227;0;0.0128512728191124;3.2;995;0.02380054402716;1.00308733086065
Prob_DensDep[5];0;0;0;0.015;0.121572721620494;0;0.00238571180893597;2;2597;0.00414982231316037;1.00480696795017
TransR;1.03988;1.05831;1.07933;1.05896649666667;0.0102355832376434;NA;0.000449701259331402;4.4;518;0.124004981882371;1.00378567240289
PredR;1.03322;1.060105;1.09017;1.06053322333333;0.0149352298746038;NA;0.000395633005271042;2.6;1425;0.0395323361294908;1.00086506776437
delta[1];4.1316e-06;24.5749;90.2466;33.6060294054635;29.9588010927174;NA;0.536514882671291;1.8;3118;-0.0363640536052475;0.999863212015004
delta[2];8.98721e-06;24.6015;88.9563;32.6869319945946;29.4287767392797;NA;0.505964393307283;1.7;3383;-0.00304699748033049;0.999647735971975
delta[3];4.299e-05;25.19685;91.0174;33.312171235765;29.9396693762108;NA;0.53616141438457;1.8;3118;0.0159971484093378;1.00005692182298
Sigma[1,1];0.000291532;905.847;3477.87;1226.50405949741;1206.50726054288;NA;73.6119597226648;6.1;269;0.212991305369585;1.06506044266375
Sigma[2,1];-302.204;-0.934881;314.463;-1.535624319497;159.137322619557;NA;5.80736574734602;3.6;751;0.0395442587706013;1.0186596788511
Sigma[3,1];-103.309;1322.54;4422;1685.153708252;1430.56083999712;NA;75.7752583380483;5.3;356;0.140471612447674;1.02480095228105
Sigma[1,2];-302.204;-0.934881;314.463;-1.535624319497;159.137322619557;NA;5.80736574734602;3.6;751;0.0395442587706013;1.0186596788511
Sigma[2,2];4.02008e-07;3.554615;59.5333;14.2077819442763;32.5298168469787;NA;0.866544138966769;2.7;1409;0.00528299022401109;1.00384390428336
Sigma[3,2];-446.451;-2.212155;452.92;-1.90436785596667;234.403890919853;NA;8.14125612720802;3.5;829;0.0335034310526151;1.00958098125722
Sigma[1,3];-103.309;1322.54;4422;1685.153708252;1430.56083999712;NA;75.7752583380483;5.3;356;0.140471612447674;1.02480095228105
Sigma[2,3];-446.451;-2.212155;452.92;-1.90436785596667;234.403890919853;NA;8.14125612720802;3.5;829;0.0335034310526151;1.00958098125722
Sigma[3,3];196.054;2049.275;6709.73;2648.09267136667;2153.30651229106;NA;80.4583922060811;3.7;716;0.0757661910683072;1.01852925430275
Corr[1,1];1;1;1;1;0;1;NA;NA;NA;NA;NA
Corr[2,1];-0.99918;-0.304676;0.999506;-0.033005123368;0.926991547981349;NA;0.0318255828528683;3.4;848;0.0414040170180668;1.00285994639618
Corr[3,1];0.98602;0.9986895;0.999984;0.974558193266667;0.201939980243936;NA;0.00947822248168498;4.7;454;0.180127002243371;1.1162102002057
Corr[1,2];-0.99918;-0.304676;0.999506;-0.033005123368;0.926991547981349;NA;0.0318255828528683;3.4;848;0.0414040170180668;1.00285994639618
Corr[2,2];1;1;1;1;0;1;NA;NA;NA;NA;NA
Corr[3,2];-0.999482;-0.3105765;0.999464;-0.0320445235233333;0.929076844830906;NA;0.0321519227269095;3.5;835;0.0474568979580401;1.0026390442658
Corr[1,3];0.98602;0.9986895;0.999984;0.974558193266667;0.201939980243936;NA;0.00947822248168498;4.7;454;0.180127002243371;1.1162102002057
Corr[2,3];-0.999482;-0.3105765;0.999464;-0.0320445235233333;0.929076844830906;NA;0.0321519227269095;3.5;835;0.0474568979580401;1.0026390442658
Corr[3,3];1;1;1;1;0;1;NA;NA;NA;NA;NA
n[1,1];168;196;220;196.051;13.3201929983705;190;0.265989937831903;2;2508;0.0140942934429912;1.00015696971778
n[2,1];192.54;211.2265;229.056;211.338928666667;9.43932808048938;NA;0.578100414188289;6.1;267;0.189649871154588;1.04644930886589
n[3,1];236.663;266.0965;299.786;266.901070666667;16.9445964653671;NA;1.69177587358794;10;100;0.498336321153469;1.08223261361123
n[4,1];241.446;262.556;284.972;262.916363333333;11.0519727367763;NA;0.912695726054527;8.3;147;0.384247045790549;1.11632099115536
n[5,1];226.795;250.64;273.998;250.404423666667;12.6903186454851;NA;1.29981287128749;10.2;95;0.546989310340169;1.0083811692825
n[6,1];256.685;277.7965;302.233;278.593185333333;12.174752301718;NA;1.13754043453495;9.3;115;0.440485566137465;1.04264567855742
n[7,1];251.048;276.203;298.654;275.123273;12.5366407979691;NA;1.15332134512136;9.2;118;0.479276568733526;1.07475569610752
n[8,1];267.667;287.7745;311.21;287.939710333333;11.2282162075206;NA;0.891767702782298;7.9;159;0.332795942999696;1.06332865574494
n[9,1];256.093;281.646;305.456;281.642684;12.8258679900703;NA;1.09340574570841;8.5;138;0.422124127829194;1.00594062858049
n[1,2];44;58;72;58.202;7.31658208850412;59;0.143126680367803;2;2613;0.0116103416309572;0.999728382657953
n[2,2];59.568;67.83555;77.1172;67.8727953333333;4.45842085310476;NA;0.137512246018282;3.1;1051;0.0892982823093701;1.02149189802754
n[3,2];59.4375;70.1709;82.0497;70.2185180666667;5.64519024814867;NA;0.218102177256351;3.9;670;0.0134465023834171;1.00403137327118
n[4,2];67.0794;75.856;84.2795;75.9408789333333;4.36518070666689;NA;0.24463150548147;5.6;318;0.199706130723379;1.00742416557473
n[5,2];67.005;74.99565;83.7784;75.0030848;4.23325407473684;NA;0.197215914530581;4.7;461;0.0916186642851646;1.00421153093008
n[6,2];65.414;73.3236;80.9287;73.4151639333333;3.98044310542487;NA;0.183164626371152;4.6;472;0.1346805494978;1.00743474574512
n[7,2];68.3832;75.80505;84.1878;75.9240576333333;3.94950408290231;NA;0.1683794722843;4.3;550;0.0821666397044529;1.00705354367105
n[8,2];67.4954;75.11795;83.0174;75.145555;3.95283542789835;NA;0.166480163136872;4.2;564;0.101708776954844;1.01139206634684
n[9,2];67.1215;75.73675;84.2571;75.9366611666667;4.37573493653583;NA;0.205060304470866;4.7;455;0.104643949778906;1.00075533409464
n[1,3];372;411;448;410.949666666667;19.7989848179689;411;0.693980914649584;3.5;814;0.0642423185978146;1.00198968988905
n[2,3];419.432;448.858;485.813;450.932434666667;16.8627076842524;NA;1.81811286551753;10.8;86;0.529725220991186;1.01951193624497
n[3,3];511.071;542.5745;583.513;543.636169;18.9750167429325;NA;1.87108417600529;9.9;103;0.521259792441466;1.13494166037746
n[4,3];540.743;567.6985;598.482;568.140294333333;14.6565067675047;NA;1.4533894824299;9.9;102;0.499063269139465;1.01911015989999
n[5,3];526.59;562.392;594.537;562.013045;16.7617329408;NA;1.91778191773079;11.4;76;0.617511749196094;1.04890158800121
n[6,3];568.806;600.271;627.881;599.991013666667;15.0414201351482;NA;1.50859257065221;10;99;0.496767740167198;1.01710516622591
n[7,3];575.62;613.273;651.785;612.758003;19.1057067422895;NA;2.07695557415235;10.9;85;0.570206020208483;1.2200598028494
n[8,3];600.181;633.349;665.018;632.826643333333;16.7462106692643;NA;1.74069217173931;10.4;93;0.548423631778643;1.10417615368348
n[9,3];595.151;633.2885;665.792;632.646924;18.3515624863422;NA;2.14255260925547;11.7;73;0.604720949376918;1.04985792058806
y_ppc[1,1];158;196;233;195.864333333333;19.3036301750439;189;0.358171291103194;1.9;2905;0.01865546009982;1.00024403091213
y_ppc[2,1];179;211;247;211.359;17.8564947232447;211;0.62578838897708;3.5;814;0.0547574618748278;1.01581737107144
y_ppc[3,1];217;266;311;266.556666666667;23.7608567815617;263;1.56141061973359;6.6;232;0.261437380929796;1.03490166479437
y_ppc[4,1];221;263;300;263.385;19.9190285296712;261;0.858214744930578;4.3;539;0.126519093020631;1.03527971740829
y_ppc[5,1];209;251;289;250.596;20.4034854393236;256;1.18193477905299;5.8;298;0.219945675956518;1.00286909299285
y_ppc[6,1];236;278;316;278.543;20.4535310719471;278;1.09061615282251;5.3;352;0.135177912279106;1.00934113457741
y_ppc[7,1];235;276;315;275.394333333333;20.7856083639757;283;1.02926282880692;5;408;0.167658798258143;1.02127049626644
y_ppc[8,1];248;287;328;287.881666666667;20.5076534942324;292;0.83757320075638;4.1;599;0.0911256565596306;1.02140012926881
y_ppc[9,1];238;282;320;282.134333333333;21.0448231817187;279;1.09444383133045;5.2;370;0.151560568981327;1.0013093081434
y_ppc[1,2];36;58;77;58.08;10.6107082253266;58;0.193724141537233;1.8;3000;-0.00300559691469439;0.999782628835066
y_ppc[2,2];48;68;84;68.0133333333333;9.13252191571798;68;0.183795119728084;2;2469;0.0276253031308542;1.0053091589335
y_ppc[3,2];48;70;87;70.0263333333333;10.0514335790749;67;0.246615326447697;2.5;1661;-0.00383440611541766;1.00060962305606
y_ppc[4,2];57;76;95;76.2523333333333;9.87288302178968;77;0.261292586131767;2.6;1428;0.0436043369293847;1.00013682676028
y_ppc[5,2];55;74;92;74.789;9.68915745859356;74;0.219161733273724;2.3;1955;0.0418439092354581;1.00065271576036
y_ppc[6,2];54;73;90;73.4416666666667;9.37862374854085;76;0.210108194818778;2.2;1992;0.0418282325541464;1.00071785615549
y_ppc[7,2];57;76;94;75.848;9.63869964484912;79;0.235317448884917;2.4;1678;0.0242959509149789;1.00279063491647
y_ppc[8,2];58;75;94;75.3263333333333;9.42617583217934;74;0.216654626880385;2.3;1893;0.0418469607604403;1.00048958373853
y_ppc[9,2];57;76;95;76.1213333333333;9.75330647616292;74;0.242731205767908;2.5;1615;0.0210827129899827;0.999592025461116
y_ppc[1,3];355;410;463;410.705666666667;28.2816486749414;411;0.7172813880127;2.5;1555;0.0231911865325508;0.999662159689917
y_ppc[2,3];395;450;502;451.011666666667;26.9628731666098;449;1.48576281327557;5.5;329;0.187198886706293;1.00681145680715
y_ppc[3,3];487;543;602;543.398333333333;29.713823399038;549;1.70813341569407;5.7;303;0.216119169509557;1.05475114668563
y_ppc[4,3];509;568;617;568.220666666667;27.7250945266388;564;1.29963266572836;4.7;455;0.133777575047614;1.00739466755061
y_ppc[5,3];502;562;615;561.946;28.7741388696383;575;1.591521695525;5.5;327;0.205521158913668;1.02161003349659
y_ppc[6,3];543;601;654;600.879666666667;28.8256626318334;598;1.35486935610319;4.7;453;0.146583606733684;1.00448608922055
y_ppc[7,3];551;613;671;612.716666666667;31.0617449534859;617;1.56405434867622;5;394;0.197696857723743;1.0661989243355
y_ppc[8,3];572;632;693;632.551333333333;30.5395413535346;630;1.58003090511022;5.2;374;0.171768715450143;1.02485831952796
y_ppc[9,3];568;633;688;632.452666666667;31.3128289572819;627;2.05893246573921;6.6;231;0.222565480927509;1.0137092253992
